ID,Sire,Dam,PC,yr
300582,200622,200621,58,2010
300591,202232,202231,59,2010
300592,200022,200021,59,2010
300621,201722,201721,62,2010
300622,201632,201631,62,2010
300631,200182,200181,63,2010
300632,200682,200681,63,2010
300641,200522,200521,64,2010
300642,200322,200321,64,2010
300651,200692,200691,65,2010
300652,200592,200591,65,2010
300661,NA,NA,66,2010
300662,NA,NA,66,2010
300671,NA,NA,67,2010
300672,NA,NA,67,2010
300681,201882,201881,68,2010
300682,200182,200181,68,2010
300691,200792,200791,69,2010
300692,201922,201921,69,2010
300701,201512,201511,70,2010
300702,201752,201751,70,2010
300711,201972,201971,71,2010
300712,201372,201371,71,2010
300721,201592,201591,72,2010
300722,201852,201851,72,2010
300731,201332,201331,73,2010
300732,201002,201001,73,2010
300741,201922,201921,74,2010
300742,200342,200341,74,2010
300751,201712,201711,75,2010
300752,200342,200341,75,2010
300761,200112,200111,76,2010
300762,200762,200761,76,2010
300771,200112,200111,77,2010
300772,201942,201941,77,2010
300781,200572,200571,78,2010
300782,201742,201741,78,2010
300801,200572,200571,80,2010
300802,201752,201751,80,2010
300811,200792,200791,81,2010
300812,200972,200971,81,2010
300821,200182,200181,82,2010
300822,200542,200541,82,2010
300831,200452,200451,83,2010
300832,200412,200411,83,2010
300841,201992,201991,84,2010
300842,201772,201771,84,2010
300851,201762,201761,85,2010
300852,201932,201931,85,2010
300861,201392,201391,86,2010
300862,201002,201001,86,2010
300871,200522,200521,87,2010
300872,200622,200621,87,2010
300881,201712,201711,88,2010
300882,201742,201741,88,2010
300891,201692,201691,89,2010
300892,201352,201351,89,2010
300901,201952,201951,90,2010
300902,202082,202081,90,2010
300911,201922,201921,91,2010
300912,202762,202761,91,2010
300931,201682,201681,93,2010
300932,202392,202391,93,2010
